"","V1","V2","V3","V4"
"68",251.899183954547,251.899206399547,251.899228844547,251.899251289547
"69",251.899189901902,251.899213021902,251.899236141902,251.899259261902
"70",251.899195926117,251.899219731117,251.899243536117,251.899267341117
"71",251.899202026888,251.899226526888,251.899251026888,251.899275526888
"72",251.899208203909,251.899233408909,251.899258613909,251.899283818909
"73",251.899214456877,251.899240376877,251.899266296877,251.899292216877
"74",251.899220785488,251.899247430488,251.899274075488,251.899300720488
"75",251.899227189441,251.899254569441,251.899281949441,251.899309329441
"76",251.899233668433,251.899261793433,251.899289918433,251.899318043433
"77",251.899240222166,251.899269102166,251.899297982166,251.899326862166
"78",251.89924685034,251.89927649534,251.89930614034,251.89933578534
"79",251.899253552655,251.899283972655,251.899314392655,251.899344812655
"80",251.899260328815,251.899291533815,251.899322738815,251.899353943815
"81",251.899267178522,251.899299178522,251.899331178522,251.899363178522
"82",251.899274101481,251.899306906481,251.899339711481,251.899372516481
"83",251.899281097397,251.899314717397,251.899348337397,251.899381957397
"84",251.899288165975,251.899322610975,251.899357055975,251.899391500975
"85",251.899295306923,251.899330586923,251.899365866923,251.899401146923
"86",251.899302519948,251.899338644948,251.899374769948,251.899410894948
"87",251.899309804758,251.899346784758,251.899383764758,251.899420744758
"88",251.899317161063,251.899355006063,251.899392851063,251.899430696063
"89",251.899324588573,251.899363308573,251.899402028573,251.899440748573
"90",251.899332086999,251.899371691999,251.899411296999,251.899450901999
"91",251.899339656053,251.899380156053,251.899420656053,251.899461156053
"92",251.899347295448,251.899388700448,251.899430105448,251.899471510448
"93",251.899355004897,251.899397324897,251.899439644897,251.899481964897
"94",251.899362784115,251.899406029115,251.899449274115,251.899492519115
"95",251.899370632816,251.899414812816,251.899458992816,251.899503172816
"96",251.899378550718,251.899423675718,251.899468800718,251.899513925718
"97",251.899386537537,251.899432617537,251.899478697537,251.899524777537
"98",251.899394592991,251.899441637991,251.899488682991,251.899535727991
"99",251.899402716799,251.899450736799,251.899498756799,251.899546776799
"100",251.899410908679,251.899459913679,251.899508918679,251.899557923679
"101",251.899419168353,251.899469168353,251.899519168353,251.899569168353
"102",251.89942749554,251.89947850054,251.89952950554,251.89958051054
"103",251.899435889964,251.899487909964,251.899539929964,251.899591949964
"104",251.899444351347,251.899497396347,251.899550441347,251.899603486347
"105",251.899452879412,251.899506959412,251.899561039412,251.899615119412
"106",251.899461473883,251.899516598883,251.899571723883,251.899626848883
"107",251.899470134487,251.899526314487,251.899582494487,251.899638674487
"108",251.899478860947,251.899536105947,251.899593350947,251.899650595947
"109",251.899487652993,251.899545972993,251.899604292993,251.899662612993
"110",251.89949651035,251.89955591535,251.89961532035,251.89967472535
"111",251.899505432747,251.899565932747,251.899626432747,251.899686932747
"112",251.899514419913,251.899576024913,251.899637629913,251.899699234913
"113",251.899523471579,251.899586191579,251.899648911579,251.899711631579
"114",251.899532587474,251.899596432474,251.899660277474,251.899724122474
"115",251.899541767331,251.899606747331,251.899671727331,251.899736707331
"116",251.89955101088,251.899617135881,251.89968326088,251.899749385881
"117",251.899560317857,251.899627597857,251.899694877857,251.899762157857
"118",251.899569687993,251.899638132993,251.899706577993,251.899775022993
"119",251.899579121024,251.899648741024,251.899718361024,251.899787981024
"120",251.899588616685,251.899659421685,251.899730226685,251.899801031685
"121",251.899598174712,251.899670174712,251.899742174712,251.899814174712
"122",251.899607794841,251.899680999841,251.899754204841,251.899827409841
"123",251.899617476811,251.899691896811,251.899766316811,251.899840736811
"124",251.89962722036,251.89970286536,251.89977851036,251.89985415536
"125",251.899637025226,251.899713905226,251.899790785226,251.899867665226
"126",251.89964689115,251.89972501615,251.89980314115,251.89988126615
"127",251.899656817872,251.899736197872,251.899815577872,251.899894957872
"128",251.899666805134,251.899747450134,251.899828095134,251.899908740134
"129",251.899676852677,251.899758772677,251.899840692677,251.899922612677
"130",251.899686960244,251.899770165244,251.899853370244,251.899936575244
"131",251.89969712758,251.89978162758,251.89986612758,251.89995062758
"132",251.899707354427,251.899793159427,251.899878964427,251.899964769427
"133",251.899717640532,251.899804760532,251.899891880532,251.899979000532
"134",251.899727985639,251.899816430639,251.899904875639,251.899993320639
"135",251.899738389496,251.899828169496,251.899917949496,251.900007729496
"136",251.899748851849,251.899839976849,251.899931101849,251.900022226849
"137",251.899759372447,251.899851852447,251.899944332447,251.900036812447
"138",251.899769951038,251.899863796038,251.899957641038,251.900051486038
"139",251.899780587371,251.899875807371,251.899971027371,251.900066247371
